dates,GDPC1,CPIAUCSL,FEDFUNDS,M2,BAA10YM,PCEPILFE,PCEPI,UNRATE
1981-07-01,6982.609,92.2666666666667,17.5766666666667,1694.06666666667,1.63,44.8286666666667,45.2476666666667,7.4
1981-10-01,6906.529,93.7666666666667,13.5866666666667,1737.8,2.59666666666667,45.6256666666667,45.9413333333333,8.23333333333333
1982-01-01,6799.233,94.6,14.2266666666667,1777.13333333333,2.74,46.294,46.5246666666667,8.83333333333333
1982-04-01,6830.251,95.9666666666667,14.5133333333333,1815.1,2.85,46.9203333333333,46.9726666666667,9.43333333333333
1982-07-01,6804.139,97.6333333333333,11.0066666666667,1845.03333333333,3.13333333333333,47.6723333333333,47.7146666666667,9.9
1982-10-01,6806.857,97.9333333333333,9.28666666666667,1886.43333333333,3.72333333333333,48.336,48.2413333333333,10.6666666666667
1983-01-01,6896.561,98,8.65333333333333,1990.46666666667,3.27,48.9713333333333,48.6396666666667,10.3666666666667
1983-04-01,7053.5,99.1333333333333,8.80333333333333,2041.73333333333,2.70666666666667,49.346,49.0846666666667,10.1333333333333
1983-07-01,7194.504,100.1,9.46,2074,1.9,50.095,49.7296666666667,9.36666666666667
1983-10-01,7344.597,101.1,9.43,2111.66666666667,1.92,50.496,50.058,8.53333333333333
1984-01-01,7488.167,102.533333333333,9.68666666666667,2157.2,1.8,51.0066666666667,50.599,7.86666666666667
1984-04-01,7617.547,103.5,10.5566666666667,2203.63333333333,1.5,51.603,51.089,7.43333333333333
1984-07-01,7690.985,104.4,11.39,2232.76666666667,1.84333333333333,52.0876666666667,51.4826666666667,7.43333333333333
1984-10-01,7754.117,105.3,9.26666666666667,2282.23333333333,1.86333333333333,52.4583333333333,51.8006666666667,7.3
1985-01-01,7829.26,106.266666666667,8.47666666666667,2350.9,1.81,53.174,52.4116666666667,7.23333333333333
1985-04-01,7898.194,107.233333333333,7.92333333333333,2392.5,2.20666666666667,53.6353333333333,52.837,7.3
1985-07-01,8018.809,107.9,7.9,2443.3,2.13333333333333,54.1863333333333,53.2513333333333,7.2
1985-10-01,8078.415,109,8.10333333333333,2479.3,2.21666666666667,54.5746666666667,53.6226666666667,7.03333333333333
1986-01-01,8153.829,109.566666666667,7.82666666666667,2516.03333333333,2.46,55.1646666666667,54.0026666666667,7.03333333333333
1986-04-01,8190.552,109.033333333333,6.92,2582.53333333333,2.67,55.5423333333333,53.9456666666667,7.16666666666667
1986-07-01,8268.935,109.7,6.20666666666667,2646.96666666667,2.87333333333333,55.924,54.2303333333333,6.96666666666667
1986-10-01,8313.338,110.466666666667,6.26666666666667,2705.56666666667,2.83,56.378,54.5583333333333,6.83333333333333
1987-01-01,8375.274,111.8,6.22,2748.36666666667,2.46666666666667,56.7323333333333,55.072,6.6
1987-04-01,8465.63,113.066666666667,6.65,2771.73333333333,2.01333333333333,57.2823333333333,55.6033333333333,6.26666666666667
1987-07-01,8539.075,114.266666666667,6.84333333333333,2788.9,2.03,57.7946666666667,56.1293333333333,6
1987-10-01,8685.694,115.333333333333,6.91666666666667,2820.03333333333,2.25666666666667,58.3823333333333,56.6146666666667,5.83333333333333
1988-01-01,8730.569,116.233333333333,6.66333333333333,2869.5,2.33666666666667,58.9456666666667,57.062,5.7
1988-04-01,8845.28,117.566666666667,7.15666666666667,2925.03333333333,2.07,59.6603333333333,57.6923333333333,5.46666666666667
1988-07-01,8897.107,119,7.98333333333333,2952.03333333333,1.97333333333333,60.3473333333333,58.403,5.46666666666667
1988-10-01,9015.661,120.3,8.47,2977.9,1.55666666666667,61.0216666666667,58.9936666666667,5.33333333333333
1989-01-01,9107.314,121.666666666667,9.44333333333333,2994.53333333333,1.43666666666667,61.6876666666667,59.671,5.2
1989-04-01,9176.827,123.633333333333,9.72666666666667,3015.16666666667,1.59333333333333,62.2486666666667,60.475,5.23333333333333
1989-07-01,9244.816,124.6,9.08333333333333,3073.1,1.78,62.712,60.8316666666667,5.23333333333333
1989-10-01,9263.033,125.866666666667,8.61333333333333,3133.3,1.90666666666667,63.286,61.3103333333333,5.36666666666667
1990-01-01,9364.259,128.033333333333,8.25,3178.7,1.67333333333333,64.015,62.199,5.3
1990-04-01,9398.243,129.3,8.24333333333333,3205.3,1.63333333333333,64.73,62.7633333333333,5.33333333333333
1990-07-01,9404.494,131.533333333333,8.16,3240.36666666667,1.71333333333333,65.3843333333333,63.561,5.7
1990-10-01,9318.876,133.766666666667,7.74333333333333,3264.56666666667,2.2,65.9333333333333,64.4016666666667,6.13333333333333
1991-01-01,9275.276,134.766666666667,6.42666666666667,3304.7,2.18666666666667,66.5183333333333,64.7403333333333,6.6
1991-04-01,9347.597,135.566666666667,5.86333333333333,3342.43333333333,1.79,67.031,65.094,6.83333333333333
1991-07-01,9394.834,136.6,5.64333333333333,3355.33333333333,1.74333333333333,67.6346666666667,65.536,6.86666666666667
1991-10-01,9427.581,137.733333333333,4.81666666666667,3365.93333333333,2.05333333333333,68.1666666666667,66.0116666666667,7.1
1992-01-01,9540.444,138.666666666667,4.02333333333333,3395.03333333333,1.9,68.6883333333333,66.4256666666667,7.36666666666667
1992-04-01,9643.893,139.733333333333,3.77,3397.23333333333,1.75333333333333,69.1736666666667,66.8673333333333,7.6
1992-07-01,9739.185,140.8,3.25666666666667,3401,2.08666666666667,69.5833333333333,67.2936666666667,7.63333333333333
1992-10-01,9840.753,142.033333333333,3.03666666666667,3425,2.12666666666667,70.0933333333333,67.763,7.36666666666667
1993-01-01,9857.185,143.066666666667,3.04,3415.1,2.12333333333333,70.576,68.1666666666667,7.13333333333333
1993-04-01,9914.565,144.1,3,3430.2,2.15,71.1116666666667,68.6243333333333,7.06666666666667
1993-07-01,9961.873,144.766666666667,3.06,3446.63333333333,2.00666666666667,71.5093333333333,68.9226666666667,6.8
1993-10-01,10097.362,145.966666666667,2.99,3467.1,1.94666666666667,71.8773333333333,69.3196666666667,6.63333333333333
1994-01-01,10195.338,146.7,3.21333333333333,3476.9,1.78,72.2036666666667,69.5683333333333,6.56666666666667
1994-04-01,10333.495,147.533333333333,3.94,3483.86666666667,1.51333333333333,72.6896666666667,69.9563333333333,6.2
1994-07-01,10393.898,148.9,4.48666666666667,3486.66666666667,1.50666666666667,73.0956666666667,70.4586666666667,6
1994-10-01,10512.962,149.766666666667,5.16666666666667,3485.96666666667,1.37,73.4666666666667,70.7893333333333,5.63333333333333
1995-01-01,10550.251,150.866666666667,5.81,3491.13333333333,1.39333333333333,73.8516666666667,71.1356666666667,5.46666666666667
1995-04-01,10581.723,152.1,6.02,3524.1,1.61333333333333,74.29,71.5496666666667,5.66666666666667
1995-07-01,10671.738,152.866666666667,5.79666666666667,3586.16666666667,1.73,74.6446666666667,71.8416666666667,5.66666666666667
1995-10-01,10744.203,153.7,5.72,3620.93333333333,1.74666666666667,75.019,72.1576666666667,5.56666666666667
1996-01-01,10824.674,155.066666666667,5.36333333333333,3665.53333333333,1.8,75.3133333333333,72.559,5.53333333333333
1996-04-01,11005.217,156.4,5.24333333333333,3709.93333333333,1.57666666666667,75.6716666666667,73.0446666666667,5.5
1996-07-01,11103.935,157.3,5.30666666666667,3744.83333333333,1.51333333333333,76.017,73.356,5.26666666666667
1996-10-01,11219.238,158.666666666667,5.28,3795.5,1.57333333333333,76.4496666666667,73.8556666666667,5.33333333333333
1997-01-01,11291.665,159.633333333333,5.27666666666667,3847.36666666667,1.50666666666667,76.75,74.182,5.23333333333333
1997-04-01,11479.33,160,5.52333333333333,3890.73333333333,1.49,77.1503333333333,74.3676666666667,5
1997-07-01,11622.911,160.8,5.53333333333333,3951.46666666667,1.51333333333333,77.3303333333333,74.564,4.86666666666667
1997-10-01,11722.722,161.666666666667,5.50666666666667,4013.33333333333,1.53,77.5753333333333,74.7976666666667,4.66666666666667
1998-01-01,11839.876,162,5.52,4086.46666666667,1.66666666666667,77.8036666666667,74.8036666666667,4.63333333333333
1998-04-01,11949.492,162.533333333333,5.5,4162.9,1.65666666666667,78.042,74.9386666666667,4.4
1998-07-01,12099.191,163.366666666667,5.53333333333333,4233.36666666667,1.92333333333333,78.3193333333333,75.1706666666667,4.53333333333333
1998-10-01,12294.737,164.133333333333,4.86,4343.1,2.58,78.5683333333333,75.3686666666667,4.43333333333333
1999-01-01,12410.778,164.733333333333,4.73333333333333,4420,2.42,78.766,75.5173333333333,4.3
